property,type,description,default,enum,enumDescriptions,location
alt,string,Data format for the response.,json,json,Responses with Content-Type of application/json,query
fields,string,Selector specifying which fields to include in a partial response.,NULL,NULL,NULL,query
key,string,"API key. Your API key identifies your project and provides you with API access, quota, and reports. Required unless you provide an OAuth 2.0 token.",NULL,NULL,NULL,query
oauth_token,string,OAuth 2.0 token for the current user.,NULL,NULL,NULL,query
prettyPrint,boolean,Returns response with indentations and line breaks.,true,NULL,NULL,query
quotaUser,string,An opaque string that represents a user for quota purposes. Must not exceed 40 characters.,NULL,NULL,NULL,query
userIp,string,Deprecated. Please use quotaUser instead.,NULL,NULL,NULL,query
