package	ondiskversion	loadedversion	path	loadedpath	attached	is_base	date	source	md5ok	library
base	4.1.0	NA	/opt/R/4.1.0/lib/R/library/base	NA	TRUE	TRUE	2021-05-18	local	NA	/opt/R/4.1.0/lib/R/library
data.table	1.14.0	NA	/home/ubuntu/R/x86_64-pc-linux-gnu-library/4.1/data.table	NA	FALSE	FALSE	2021-02-21	RSPM (R 4.1.0)	NA	/home/ubuntu/R/x86_64-pc-linux-gnu-library/4.1
dplyr	1.0.7	NA	/home/ubuntu/R/x86_64-pc-linux-gnu-library/4.1/dplyr	NA	FALSE	FALSE	2021-06-18	RSPM (R 4.1.0)	NA	/home/ubuntu/R/x86_64-pc-linux-gnu-library/4.1
readr	1.4.0	NA	/home/ubuntu/R/x86_64-pc-linux-gnu-library/4.1/readr	NA	FALSE	FALSE	2020-10-05	RSPM (R 4.1.0)	NA	/home/ubuntu/R/x86_64-pc-linux-gnu-library/4.1
vroom	1.5.1	1.5.1	/home/ubuntu/R/x86_64-pc-linux-gnu-library/4.1/vroom	/home/ubuntu/R/x86_64-pc-linux-gnu-library/4.1/vroom	FALSE	FALSE	2021-06-22	local	NA	/home/ubuntu/R/x86_64-pc-linux-gnu-library/4.1
